Date,Category,Amount,Description,Payment Mode,Cashback
2025-04-24,Transport,439.49,Train fare,Debit Card,12.65
2025-04-18,Healthcare,91.0,Eye exam,Mobile Payment,0.0
2025-04-16,Stationary,93.85,Charts,Mobile Payment,0.0
2025-04-14,Healthcare,334.03,Dental check-up,Credit Card,14.26
2025-04-20,Entertainment,486.99,Movie ticket,Bank Transfer,0.0
2025-04-22,Stationary,350.75,Sheets,Mobile Payment,0.0
2025-04-25,Entertainment,476.02,Concert ticket,Cash,0.0
2025-04-26,Shopping,119.36,Gift purchase,Credit Card,3.49
2025-04-12,Transport,258.27,Parking fee,Bank Transfer,0.0
2025-04-28,Travel,313.84,Mall visit,Credit Card,13.94
2025-04-22,Utilities,436.79,Internet subscription,Debit Card,9.75
2025-04-19,Utilities,204.29,Water bill,Bank Transfer,0.0
2025-04-13,Healthcare,379.17,Eye exam,Debit Card,8.67
2025-04-08,Travel,131.0,Movies,Cash,0.0
2025-04-25,Stationary,351.42,declutter boxes,Cash,0.0
2025-04-10,Investments,471.28,LIC,Debit Card,10.14
2025-04-26,Utilities,261.03,Mobile phone bill,Credit Card,11.2
2025-04-28,Rent,244.76,Monthly rent,Cash,0.0
2025-04-17,Healthcare,289.01,Eye exam,Debit Card,5.93
2025-04-21,Food,203.49,Lunch at restaurant,Cash,0.0
2025-04-23,Shopping,415.18,Online shopping,Debit Card,7.99
2025-04-06,Travel,202.96,South Tour,Bank Transfer,0.0
2025-04-07,Travel,237.76,Hastinapur tour,Credit Card,10.09
2025-04-24,Entertainment,199.66,Concert ticket,Cash,0.0
2025-04-25,Rent,97.87,Monthly rent,Mobile Payment,0.0
2025-04-16,Utilities,46.67,Electricity bill,Credit Card,1.69
2025-04-27,Utilities,491.93,Mobile phone bill,Cash,0.0
2025-04-09,Entertainment,196.52,Books purchase,Debit Card,7.77
2025-04-28,Stationary,34.11,Charts,Debit Card,0.39
2025-04-28,Food,462.88,Weekly groceries,Credit Card,5.31
2025-04-07,Investments,345.0,mutual funds,Credit Card,3.93
2025-04-10,Entertainment,162.57,Dinner and drinks,Debit Card,5.46
2025-04-02,Entertainment,136.47,Dinner and drinks,Bank Transfer,0.0
2025-04-20,Shopping,197.44,Shopping for accessories,Bank Transfer,0.0
2025-04-03,Travel,396.17,Mall visit,Bank Transfer,0.0
2025-04-23,Shopping,104.52,Online shopping,Credit Card,1.11
2025-04-15,Investments,84.6,mutual funds,Cash,0.0
2025-04-08,Utilities,28.91,Cable TV subscription,Credit Card,1.15
2025-04-03,Investments,350.44,LIC,Bank Transfer,0.0
2025-04-20,Rent,70.68,Room rent payment,Cash,0.0
2025-04-20,Entertainment,117.22,Video games,Bank Transfer,0.0
2025-04-08,Utilities,35.46,Water bill,Debit Card,1.21
2025-04-10,Transport,92.62,Car repair,Cash,0.0
2025-04-28,Entertainment,276.79,Video games,Bank Transfer,0.0
2025-04-15,Stationary,355.63,Charts,Credit Card,5.68
2025-04-04,Utilities,352.35,Internet subscription,Bank Transfer,0.0
2025-04-05,Healthcare,78.81,Eye exam,Cash,0.0
2025-04-27,Entertainment,257.4,Books purchase,Debit Card,6.91
2025-04-03,Utilities,211.34,Mobile phone bill,Debit Card,4.18
2025-04-26,Investments,141.7,mutual funds,Debit Card,3.41
2025-04-30,Rent,276.9,Room rent payment,Mobile Payment,0.0
2025-04-08,Shopping,363.32,Bought electronics,Cash,0.0
2025-04-26,Food,20.45,Bought snacks,Mobile Payment,0.0
2025-04-22,Transport,148.57,Car repair,Mobile Payment,0.0
2025-04-12,Rent,482.73,Room rent payment,Cash,0.0
2025-04-25,Stationary,127.67,declutter boxes,Cash,0.0
2025-04-19,Utilities,491.8,Cable TV subscription,Mobile Payment,0.0
2025-04-08,Travel,11.96,South Tour,Cash,0.0
2025-04-30,Investments,300.74,stocks,Cash,0.0
