Date,Category,Amount,Description,Payment Mode,Cashback
2025-12-24,Rent,110.23,House rent payment,Bank Transfer,0.0
2025-12-06,Stationary,344.69,declutter boxes,Debit Card,26.09
2025-12-18,Food,484.53,Lunch at restaurant,Mobile Payment,0.0
2025-12-29,Rent,276.55,Room rent payment,Credit Card,11.06
2025-12-04,Healthcare,128.22,Medicine purchase,Cash,0.0
2025-12-12,Travel,255.28,Mall visit,Credit Card,7.62
2025-12-14,Investments,472.15,SIP,Mobile Payment,0.0
2025-12-24,Utilities,373.63,Cable TV subscription,Bank Transfer,0.0
2025-12-09,Entertainment,199.59,Streaming subscription,Cash,0.0
2025-12-31,Transport,230.94,Train fare,Mobile Payment,0.0
2025-12-23,Food,427.95,Fast food meal,Bank Transfer,0.0
2025-12-28,Stationary,197.61,declutter boxes,Credit Card,11.07
2025-12-23,Food,168.77,Dinner delivery,Credit Card,5.47
2025-12-05,Healthcare,161.52,Health insurance,Mobile Payment,0.0
2025-12-21,Shopping,213.85,Bought electronics,Credit Card,6.31
2025-12-28,Food,54.91,Weekly groceries,Credit Card,1.15
2025-12-26,Stationary,339.11,Sheets,Bank Transfer,0.0
2025-12-12,Travel,24.21,South Tour,Cash,0.0
2025-12-13,Entertainment,206.13,Books purchase,Credit Card,7.51
2025-12-16,Investments,228.8,SIP,Bank Transfer,0.0
2025-12-06,Rent,477.19,Apartment rent,Cash,0.0
2025-12-01,Stationary,411.16,Sheets,Credit Card,18.08
2025-12-28,Investments,52.51,mutual funds,Debit Card,3.75
2025-12-20,Transport,65.54,Taxi fare,Bank Transfer,0.0
2025-12-16,Food,400.62,Coffee at café,Credit Card,26.65
2025-12-25,Investments,192.87,LIC,Mobile Payment,0.0
2025-12-26,Transport,193.36,Gas station refill,Debit Card,9.3
2025-12-20,Healthcare,72.96,Health insurance,Credit Card,3.69
2025-12-28,Utilities,117.11,Internet subscription,Debit Card,9.31
2025-12-04,Healthcare,35.56,Prescription glasses,Bank Transfer,0.0
2025-12-11,Investments,112.98,stocks,Debit Card,8.42
2025-12-03,Travel,48.87,Mall visit,Mobile Payment,0.0
2025-12-10,Transport,267.4,Public transport ticket,Credit Card,17.65
2025-12-13,Travel,441.84,Hastinapur tour,Debit Card,32.19
2025-12-17,Shopping,437.6,Clothing purchase,Credit Card,9.03
2025-12-20,Rent,206.5,House rent payment,Debit Card,6.51
2025-12-29,Entertainment,235.51,Streaming subscription,Bank Transfer,0.0
2025-12-07,Entertainment,459.54,Streaming subscription,Credit Card,5.38
2025-12-09,Entertainment,424.98,Concert ticket,Debit Card,31.64
2025-12-04,Entertainment,19.58,Concert ticket,Bank Transfer,0.0
2025-12-23,Healthcare,56.69,Health insurance,Debit Card,1.16
2025-12-05,Utilities,187.34,Electricity bill,Debit Card,1.94
2025-12-22,Travel,452.26,South Tour,Bank Transfer,0.0
2025-12-15,Food,373.48,Grocery shopping,Bank Transfer,0.0
2025-12-05,Investments,314.3,mutual funds,Debit Card,12.95
2025-12-23,Food,388.33,Bought snacks,Mobile Payment,0.0
2025-12-12,Healthcare,211.08,Prescription glasses,Mobile Payment,0.0
2025-12-04,Utilities,419.72,Electricity bill,Credit Card,25.05
2025-12-07,Travel,367.62,Hastinapur tour,Cash,0.0
2025-12-09,Travel,89.53,Sunday picnic,Bank Transfer,0.0
2025-12-10,Rent,63.1,Apartment rent,Credit Card,3.53
2025-12-10,Stationary,240.33,Pens,Mobile Payment,0.0
2025-12-11,Food,19.39,Dinner delivery,Bank Transfer,0.0
2025-12-29,Shopping,420.28,Bought electronics,Debit Card,13.53
2025-12-11,Transport,276.43,Taxi fare,Bank Transfer,0.0
2025-12-29,Travel,247.4,Hastinapur tour,Cash,0.0
2025-12-29,Healthcare,416.94,Prescription glasses,Credit Card,5.91
2025-12-08,Stationary,277.46,Pens,Mobile Payment,0.0
2025-12-20,Investments,322.85,mutual funds,Mobile Payment,0.0
2025-12-22,Food,222.53,Fast food meal,Cash,0.0
2025-12-15,Utilities,125.71,Cable TV subscription,Debit Card,4.25
2025-12-03,Food,259.63,Weekly groceries,Bank Transfer,0.0
2025-12-13,Shopping,62.85,Bought electronics,Credit Card,1.76
2025-12-28,Travel,214.32,South Tour,Bank Transfer,0.0
2025-12-14,Travel,429.2,Movies,Cash,0.0
2025-12-27,Rent,209.66,Monthly rent,Bank Transfer,0.0
2025-12-31,Transport,293.96,Uber ride,Credit Card,20.78
2025-12-10,Shopping,417.44,Clothing purchase,Bank Transfer,0.0
2025-12-17,Shopping,392.73,Clothing purchase,Credit Card,4.46
2025-12-26,Rent,144.28,Monthly rent,Cash,0.0
2025-12-14,Shopping,6.3,Bought electronics,Credit Card,0.24
2025-12-14,Transport,18.06,Uber ride,Mobile Payment,0.0
2025-12-17,Food,395.96,Grocery shopping,Debit Card,17.55
2025-12-18,Entertainment,302.05,Streaming subscription,Credit Card,10.64
2025-12-02,Rent,259.61,Apartment rent,Bank Transfer,0.0
2025-12-16,Transport,390.05,Parking fee,Cash,0.0
2025-12-27,Investments,458.32,LIC,Debit Card,23.24
2025-12-23,Shopping,202.39,Online shopping,Mobile Payment,0.0
2025-12-15,Transport,107.55,Parking fee,Mobile Payment,0.0
2025-12-14,Food,227.77,Grocery shopping,Debit Card,15.64
2025-12-21,Food,38.27,Bought snacks,Credit Card,1.88
2025-12-16,Food,182.89,Lunch at restaurant,Mobile Payment,0.0
2025-12-04,Food,95.68,Fast food meal,Mobile Payment,0.0
2025-12-15,Stationary,190.39,Charts,Debit Card,7.12
2025-12-14,Transport,96.79,Taxi fare,Bank Transfer,0.0
2025-12-06,Entertainment,269.6,Video games,Cash,0.0
2025-12-13,Travel,459.96,Mall visit,Mobile Payment,0.0
2025-12-24,Healthcare,185.84,Medicine purchase,Cash,0.0
2025-12-06,Investments,259.41,mutual funds,Mobile Payment,0.0
2025-12-10,Utilities,49.3,Cable TV subscription,Cash,0.0
2025-12-09,Transport,320.76,Train fare,Cash,0.0
2025-12-04,Healthcare,205.51,Medicine purchase,Cash,0.0
2025-12-31,Transport,406.84,Car repair,Debit Card,13.45
2025-12-23,Investments,15.31,stocks,Bank Transfer,0.0
2025-12-30,Food,78.52,Grocery shopping,Debit Card,1.87
2025-12-17,Travel,412.08,South Tour,Mobile Payment,0.0
2025-12-17,Travel,33.2,Movies,Mobile Payment,0.0
2025-12-02,Utilities,171.57,Electricity bill,Cash,0.0
2025-12-19,Entertainment,323.84,Dinner and drinks,Cash,0.0
2025-12-22,Investments,118.23,stocks,Bank Transfer,0.0
2025-12-11,Food,236.84,Bought snacks,Credit Card,4.29
2025-12-20,Food,148.82,Bought snacks,Credit Card,1.57
2025-12-18,Entertainment,7.92,Books purchase,Credit Card,0.2
2025-12-04,Healthcare,90.89,Dental check-up,Credit Card,5.91
2025-12-09,Stationary,353.66,Sheets,Credit Card,14.83
2025-12-23,Travel,454.65,South Tour,Cash,0.0
2025-12-25,Stationary,377.94,Pens,Bank Transfer,0.0
