Date,Category,Amount,Description,Payment Mode,Cashback
2025-07-02,Stationary,283.02,Sheets,Credit Card,12.69
2025-07-27,Transport,448.12,Uber ride,Credit Card,6.22
2025-07-03,Investments,71.63,mutual funds,Cash,0.0
2025-07-02,Entertainment,109.79,Streaming subscription,Bank Transfer,0.0
2025-07-20,Entertainment,428.96,Streaming subscription,Bank Transfer,0.0
2025-07-14,Investments,197.57,SIP,Credit Card,8.51
2025-07-13,Investments,313.93,LIC,Credit Card,13.32
2025-07-24,Transport,121.47,Public transport ticket,Cash,0.0
2025-07-14,Rent,191.83,Monthly rent,Cash,0.0
2025-07-23,Shopping,415.54,Bought electronics,Bank Transfer,0.0
2025-07-05,Shopping,470.37,Bought electronics,Cash,0.0
2025-07-16,Travel,398.26,Hastinapur tour,Cash,0.0
2025-07-24,Healthcare,146.9,Medicine purchase,Mobile Payment,0.0
2025-07-27,Healthcare,115.16,Health insurance,Bank Transfer,0.0
2025-07-03,Travel,41.52,Movies,Cash,0.0
2025-07-12,Investments,23.35,mutual funds,Mobile Payment,0.0
2025-07-19,Transport,98.7,Public transport ticket,Debit Card,1.63
2025-07-27,Rent,308.11,Monthly rent,Debit Card,9.78
2025-07-04,Shopping,155.27,Bought electronics,Debit Card,5.65
2025-07-30,Travel,16.45,Hastinapur tour,Cash,0.0
2025-07-04,Rent,100.01,Room rent payment,Cash,0.0
2025-07-05,Travel,329.21,South Tour,Mobile Payment,0.0
2025-07-16,Transport,130.07,Uber ride,Debit Card,1.74
2025-07-29,Transport,463.12,Taxi fare,Mobile Payment,0.0
2025-07-01,Transport,313.9,Uber ride,Mobile Payment,0.0
2025-07-11,Rent,362.15,Apartment rent,Bank Transfer,0.0
2025-07-16,Shopping,129.28,New shoes,Cash,0.0
2025-07-17,Rent,71.93,Monthly rent,Credit Card,3.13
2025-07-28,Shopping,235.66,New shoes,Mobile Payment,0.0
2025-07-04,Transport,351.82,Gas station refill,Cash,0.0
2025-07-06,Transport,140.67,Parking fee,Credit Card,1.48
2025-07-18,Travel,5.05,Sunday picnic,Mobile Payment,0.0
2025-07-31,Food,56.66,Weekly groceries,Debit Card,2.38
2025-07-11,Food,374.95,Weekly groceries,Credit Card,6.18
2025-07-07,Rent,70.67,Room rent payment,Cash,0.0
2025-07-02,Travel,351.06,South Tour,Debit Card,11.67
2025-07-23,Food,410.32,Weekly groceries,Credit Card,5.51
2025-07-25,Travel,438.35,Mall visit,Credit Card,17.51
2025-07-01,Shopping,38.69,Home decor,Debit Card,1.46
2025-07-23,Investments,135.68,mutual funds,Cash,0.0
2025-07-11,Stationary,236.73,Sheets,Credit Card,7.64
2025-07-17,Healthcare,109.52,Health insurance,Credit Card,2.69
2025-07-19,Entertainment,115.72,Video games,Mobile Payment,0.0
2025-07-21,Rent,81.5,Room rent payment,Mobile Payment,0.0
2025-07-16,Travel,480.4,South Tour,Mobile Payment,0.0
2025-07-15,Utilities,493.16,Internet subscription,Debit Card,21.82
2025-07-02,Utilities,404.75,Internet subscription,Debit Card,19.34
2025-07-09,Food,391.09,Lunch at restaurant,Debit Card,18.61
2025-07-20,Entertainment,167.5,Theatre show,Mobile Payment,0.0
2025-07-07,Shopping,401.85,Gift purchase,Credit Card,9.99
2025-07-26,Transport,228.71,Taxi fare,Credit Card,6.03
