Date,Category,Amount,Description,Payment Mode,Cashback
2025-06-03,Travel,216.88,Hastinapur tour,Bank Transfer,0.0
2025-06-11,Transport,14.31,Uber ride,Credit Card,0.73
2025-06-02,Utilities,39.6,Gas bill,Debit Card,1.3
2025-06-07,Entertainment,366.86,Movie ticket,Bank Transfer,0.0
2025-06-08,Travel,34.94,Mall visit,Credit Card,0.77
2025-06-28,Travel,27.84,Movies,Mobile Payment,0.0
2025-06-05,Utilities,462.48,Internet subscription,Debit Card,33.45
2025-06-25,Utilities,452.79,Gas bill,Mobile Payment,0.0
2025-06-13,Rent,449.32,House rent payment,Debit Card,35.74
2025-06-30,Investments,57.3,SIP,Cash,0.0
2025-06-30,Travel,29.81,Hastinapur tour,Debit Card,1.26
2025-06-29,Stationary,288.71,Sheets,Cash,0.0
2025-06-25,Healthcare,47.35,Prescription glasses,Cash,0.0
2025-06-29,Shopping,251.3,Gift purchase,Cash,0.0
2025-06-19,Stationary,132.27,Sketch Pens,Debit Card,4.41
2025-06-11,Healthcare,41.88,Doctor visit,Debit Card,0.9
2025-06-23,Stationary,373.98,Pens,Credit Card,12.49
2025-06-21,Travel,335.46,Mall visit,Credit Card,17.53
2025-06-19,Utilities,216.24,Water bill,Cash,0.0
2025-06-12,Transport,327.06,Public transport ticket,Mobile Payment,0.0
2025-06-15,Shopping,423.69,Online shopping,Mobile Payment,0.0
2025-06-04,Stationary,297.29,Charts,Credit Card,7.39
2025-06-17,Transport,388.82,Public transport ticket,Bank Transfer,0.0
2025-06-24,Shopping,247.28,Clothing purchase,Cash,0.0
2025-06-10,Rent,234.3,Monthly rent,Bank Transfer,0.0
2025-06-10,Healthcare,390.63,Prescription glasses,Mobile Payment,0.0
2025-06-13,Travel,51.16,South Tour,Cash,0.0
2025-06-07,Healthcare,200.7,Medicine purchase,Credit Card,9.33
2025-06-11,Rent,200.29,Monthly rent,Bank Transfer,0.0
2025-06-23,Shopping,82.09,Online shopping,Cash,0.0
2025-06-28,Transport,185.43,Train fare,Debit Card,11.58
2025-06-20,Stationary,295.7,Sheets,Bank Transfer,0.0
2025-06-01,Rent,30.07,Monthly rent,Cash,0.0
2025-06-12,Entertainment,338.51,Books purchase,Debit Card,7.91
2025-06-11,Utilities,249.93,Internet subscription,Bank Transfer,0.0
2025-06-06,Rent,54.33,Apartment rent,Mobile Payment,0.0
2025-06-10,Travel,109.18,Mall visit,Bank Transfer,0.0
2025-06-03,Stationary,260.77,Sketch Pens,Debit Card,9.97
2025-06-26,Entertainment,357.28,Dinner and drinks,Credit Card,4.03
2025-06-05,Healthcare,179.33,Dental check-up,Mobile Payment,0.0
2025-06-30,Healthcare,388.06,Eye exam,Mobile Payment,0.0
2025-06-28,Entertainment,98.31,Dinner and drinks,Debit Card,4.89
2025-06-14,Travel,68.34,Hastinapur tour,Bank Transfer,0.0
2025-06-08,Investments,167.4,mutual funds,Mobile Payment,0.0
2025-06-29,Shopping,21.96,Shopping for accessories,Mobile Payment,0.0
2025-06-15,Investments,55.78,mutual funds,Mobile Payment,0.0
2025-06-06,Utilities,373.46,Mobile phone bill,Debit Card,6.17
2025-06-26,Rent,137.79,Monthly rent,Bank Transfer,0.0
2025-06-21,Investments,301.16,LIC,Credit Card,12.41
2025-06-02,Healthcare,324.45,Dental check-up,Debit Card,21.33
2025-06-02,Investments,118.62,mutual funds,Credit Card,1.56
2025-06-03,Investments,498.4,LIC,Debit Card,30.95
2025-06-22,Entertainment,125.05,Video games,Bank Transfer,0.0
2025-06-21,Healthcare,197.45,Health insurance,Debit Card,13.93
2025-06-02,Food,436.68,Bought snacks,Cash,0.0
2025-06-27,Travel,428.32,Hastinapur tour,Debit Card,11.8
2025-06-10,Transport,225.34,Car repair,Debit Card,7.78
2025-06-03,Stationary,358.78,Sketch Pens,Mobile Payment,0.0
2025-06-18,Stationary,422.89,declutter boxes,Credit Card,27.49
2025-06-22,Entertainment,25.39,Dinner and drinks,Bank Transfer,0.0
2025-06-14,Travel,187.07,Hastinapur tour,Credit Card,14.89
2025-06-03,Rent,246.72,House rent payment,Credit Card,19.26
2025-06-04,Transport,123.12,Train fare,Cash,0.0
2025-06-12,Entertainment,189.86,Concert ticket,Bank Transfer,0.0
2025-06-15,Transport,486.01,Parking fee,Bank Transfer,0.0
2025-06-21,Rent,203.4,Apartment rent,Debit Card,9.35
2025-06-26,Rent,195.81,House rent payment,Cash,0.0
2025-06-27,Utilities,442.92,Electricity bill,Credit Card,13.61
2025-06-10,Healthcare,247.37,Medicine purchase,Credit Card,4.2
2025-06-09,Investments,333.23,mutual funds,Bank Transfer,0.0
2025-06-24,Entertainment,181.26,Dinner and drinks,Credit Card,6.56
2025-06-17,Transport,242.19,Parking fee,Bank Transfer,0.0
2025-06-11,Travel,323.74,Hastinapur tour,Cash,0.0
2025-06-11,Travel,161.86,Mall visit,Cash,0.0
2025-06-12,Entertainment,134.58,Books purchase,Mobile Payment,0.0
2025-06-16,Rent,206.41,Room rent payment,Bank Transfer,0.0
2025-06-27,Stationary,153.24,Sketch Pens,Bank Transfer,0.0
2025-06-21,Stationary,383.87,Sketch Pens,Cash,0.0
2025-06-30,Rent,173.99,Room rent payment,Bank Transfer,0.0
2025-06-05,Transport,212.59,Taxi fare,Mobile Payment,0.0
2025-06-29,Travel,231.63,Hastinapur tour,Cash,0.0
2025-06-27,Entertainment,391.26,Streaming subscription,Mobile Payment,0.0
2025-06-16,Transport,347.56,Taxi fare,Mobile Payment,0.0
2025-06-27,Utilities,470.17,Water bill,Debit Card,7.94
2025-06-28,Food,183.32,Lunch at restaurant,Mobile Payment,0.0
2025-06-29,Stationary,41.43,Sketch Pens,Cash,0.0
2025-06-20,Shopping,476.2,New shoes,Mobile Payment,0.0
2025-06-28,Travel,474.92,Mall visit,Bank Transfer,0.0
2025-06-07,Travel,448.87,Sunday picnic,Cash,0.0
2025-06-18,Entertainment,247.05,Dinner and drinks,Mobile Payment,0.0
2025-06-01,Stationary,95.1,Sketch Pens,Cash,0.0
2025-06-20,Investments,169.03,mutual funds,Credit Card,6.72
2025-06-10,Stationary,291.78,Sheets,Bank Transfer,0.0
2025-06-01,Healthcare,397.95,Dental check-up,Credit Card,6.25
2025-06-14,Utilities,420.98,Mobile phone bill,Cash,0.0
2025-06-04,Entertainment,164.58,Dinner and drinks,Bank Transfer,0.0
2025-06-27,Entertainment,18.77,Movie ticket,Cash,0.0
2025-06-27,Entertainment,334.15,Movie ticket,Debit Card,7.04
2025-06-18,Utilities,144.22,Electricity bill,Credit Card,9.86
2025-06-15,Healthcare,438.74,Medicine purchase,Bank Transfer,0.0
2025-06-23,Travel,377.6,Mall visit,Credit Card,14.61
2025-06-18,Travel,16.76,Movies,Bank Transfer,0.0
2025-06-25,Travel,133.53,Mall visit,Debit Card,9.09
2025-06-08,Rent,335.62,Room rent payment,Mobile Payment,0.0
2025-06-17,Transport,70.67,Car repair,Mobile Payment,0.0
2025-06-27,Food,324.27,Coffee at café,Debit Card,19.07
2025-06-12,Stationary,46.39,Charts,Debit Card,2.25
2025-06-04,Transport,17.6,Taxi fare,Cash,0.0
2025-06-19,Food,34.3,Lunch at restaurant,Bank Transfer,0.0
2025-06-30,Travel,332.5,Sunday picnic,Debit Card,21.76
2025-06-01,Travel,456.11,Hastinapur tour,Cash,0.0
2025-06-23,Investments,196.94,stocks,Debit Card,4.87
2025-06-04,Healthcare,119.9,Medicine purchase,Cash,0.0
2025-06-16,Food,392.81,Weekly groceries,Credit Card,28.11
2025-06-02,Food,179.39,Grocery shopping,Debit Card,13.81
2025-06-25,Stationary,486.02,Sketch Pens,Credit Card,31.91
2025-06-02,Travel,17.81,Movies,Credit Card,0.42
2025-06-29,Healthcare,101.13,Dental check-up,Mobile Payment,0.0
2025-06-13,Travel,221.98,Mall visit,Mobile Payment,0.0
2025-06-11,Entertainment,303.43,Theatre show,Cash,0.0
2025-06-22,Entertainment,454.92,Theatre show,Cash,0.0
2025-06-16,Healthcare,435.89,Gym membership,Mobile Payment,0.0
2025-06-07,Investments,54.46,stocks,Mobile Payment,0.0
2025-06-27,Investments,324.91,mutual funds,Credit Card,3.31
2025-06-17,Food,131.88,Weekly groceries,Bank Transfer,0.0
2025-06-19,Utilities,177.46,Mobile phone bill,Mobile Payment,0.0
2025-06-10,Healthcare,376.68,Doctor visit,Mobile Payment,0.0
2025-06-12,Shopping,117.22,Shopping for accessories,Credit Card,8.29
2025-06-16,Food,326.0,Coffee at café,Bank Transfer,0.0
2025-06-19,Utilities,328.97,Cable TV subscription,Mobile Payment,0.0
2025-06-02,Shopping,326.06,Home decor,Credit Card,23.31
2025-06-25,Healthcare,449.36,Gym membership,Debit Card,32.89
2025-06-19,Shopping,496.81,Gift purchase,Credit Card,23.9
2025-06-04,Healthcare,111.02,Medicine purchase,Bank Transfer,0.0
2025-06-19,Shopping,306.59,New shoes,Debit Card,19.64
2025-06-24,Entertainment,219.51,Theatre show,Mobile Payment,0.0
2025-06-17,Utilities,168.53,Electricity bill,Bank Transfer,0.0
