Date,Category,Amount,Description,Payment Mode,Cashback
2025-03-23,Rent,98.04,Monthly rent,Cash,0.0
2025-03-07,Food,434.88,Fast food meal,Debit Card,18.89
2025-03-09,Investments,376.72,mutual funds,Credit Card,17.82
2025-03-18,Food,471.11,Weekly groceries,Mobile Payment,0.0
2025-03-22,Healthcare,192.88,Medicine purchase,Cash,0.0
2025-03-14,Healthcare,436.29,Gym membership,Bank Transfer,0.0
2025-03-29,Food,283.95,Lunch at restaurant,Bank Transfer,0.0
2025-03-24,Stationary,416.65,Sketch Pens,Credit Card,7.98
2025-03-12,Entertainment,86.59,Books purchase,Debit Card,1.37
2025-03-09,Travel,303.56,Movies,Bank Transfer,0.0
2025-03-05,Healthcare,103.3,Prescription glasses,Credit Card,2.67
2025-03-08,Utilities,226.04,Gas bill,Debit Card,6.03
2025-03-06,Food,318.59,Fast food meal,Cash,0.0
2025-03-01,Rent,370.29,Apartment rent,Credit Card,5.87
2025-03-30,Stationary,212.91,Sketch Pens,Debit Card,3.54
2025-03-15,Transport,47.13,Parking fee,Credit Card,1.95
2025-03-22,Healthcare,378.88,Eye exam,Mobile Payment,0.0
2025-03-25,Travel,317.54,Sunday picnic,Mobile Payment,0.0
2025-03-03,Healthcare,166.73,Gym membership,Bank Transfer,0.0
2025-03-01,Shopping,300.21,Shopping for accessories,Cash,0.0
2025-03-27,Shopping,182.99,Clothing purchase,Bank Transfer,0.0
2025-03-13,Entertainment,488.36,Concert ticket,Credit Card,14.62
2025-03-21,Stationary,322.84,declutter boxes,Credit Card,9.11
2025-03-30,Investments,436.87,SIP,Bank Transfer,0.0
2025-03-31,Food,330.07,Bought snacks,Cash,0.0
2025-03-06,Entertainment,13.59,Movie ticket,Cash,0.0
2025-03-29,Food,422.62,Lunch at restaurant,Bank Transfer,0.0
2025-03-29,Investments,364.26,mutual funds,Bank Transfer,0.0
2025-03-25,Shopping,399.18,Bought electronics,Credit Card,10.31
2025-03-04,Healthcare,360.14,Medicine purchase,Credit Card,15.23
2025-03-22,Entertainment,469.72,Movie ticket,Debit Card,15.19
2025-03-09,Food,360.92,Bought snacks,Credit Card,6.67
2025-03-06,Investments,415.8,LIC,Cash,0.0
2025-03-06,Utilities,211.59,Mobile phone bill,Debit Card,2.83
2025-03-03,Entertainment,462.23,Theatre show,Bank Transfer,0.0
2025-03-09,Rent,11.21,Room rent payment,Credit Card,0.21
2025-03-24,Investments,130.68,LIC,Bank Transfer,0.0
2025-03-25,Investments,233.08,LIC,Mobile Payment,0.0
2025-03-26,Food,67.03,Weekly groceries,Cash,0.0
2025-03-16,Utilities,338.36,Electricity bill,Cash,0.0
2025-03-09,Transport,135.0,Public transport ticket,Debit Card,4.41
2025-03-14,Healthcare,495.59,Eye exam,Bank Transfer,0.0
2025-03-25,Entertainment,108.97,Theatre show,Bank Transfer,0.0
2025-03-04,Food,198.22,Dinner delivery,Credit Card,3.6
2025-03-10,Investments,354.25,SIP,Debit Card,4.27
2025-03-01,Investments,228.93,mutual funds,Mobile Payment,0.0
2025-03-04,Transport,263.72,Gas station refill,Cash,0.0
2025-03-23,Healthcare,410.18,Medicine purchase,Mobile Payment,0.0
2025-03-22,Investments,144.95,stocks,Bank Transfer,0.0
2025-03-20,Shopping,315.35,New shoes,Debit Card,5.23
2025-03-16,Rent,312.68,Room rent payment,Bank Transfer,0.0
2025-03-04,Shopping,145.59,New shoes,Mobile Payment,0.0
2025-03-04,Investments,451.24,mutual funds,Bank Transfer,0.0
2025-03-17,Travel,58.86,Mall visit,Mobile Payment,0.0
2025-03-27,Transport,138.7,Taxi fare,Debit Card,2.4
2025-03-26,Transport,175.26,Parking fee,Debit Card,6.69
2025-03-22,Rent,427.13,Monthly rent,Cash,0.0
2025-03-15,Rent,288.95,Room rent payment,Bank Transfer,0.0
2025-03-27,Transport,129.7,Uber ride,Mobile Payment,0.0
2025-03-16,Rent,31.24,Apartment rent,Cash,0.0
2025-03-27,Shopping,211.64,New shoes,Bank Transfer,0.0
2025-03-10,Rent,463.1,Apartment rent,Mobile Payment,0.0
2025-03-30,Healthcare,18.03,Dental check-up,Debit Card,0.27
2025-03-30,Stationary,63.18,Sheets,Mobile Payment,0.0
2025-03-24,Rent,109.46,Room rent payment,Debit Card,1.26
2025-03-13,Travel,92.14,South Tour,Cash,0.0
2025-03-20,Travel,19.05,Mall visit,Bank Transfer,0.0
2025-03-18,Stationary,40.35,Pens,Debit Card,1.29
2025-03-17,Shopping,109.87,Clothing purchase,Bank Transfer,0.0
2025-03-01,Investments,136.36,mutual funds,Debit Card,6.34
2025-03-05,Investments,248.88,LIC,Debit Card,12.42
2025-03-04,Entertainment,80.72,Concert ticket,Debit Card,2.47
2025-03-14,Transport,346.49,Uber ride,Credit Card,7.65
2025-03-08,Healthcare,114.48,Prescription glasses,Debit Card,3.85
2025-03-13,Travel,270.58,Movies,Credit Card,10.57
2025-03-25,Rent,166.03,Room rent payment,Credit Card,2.86
2025-03-07,Food,247.79,Fast food meal,Credit Card,11.95
2025-03-15,Entertainment,252.92,Books purchase,Debit Card,4.5
2025-03-27,Stationary,246.03,Sheets,Debit Card,11.45
2025-03-29,Shopping,263.14,Gift purchase,Mobile Payment,0.0
2025-03-13,Utilities,426.22,Electricity bill,Cash,0.0
2025-03-06,Food,56.16,Bought snacks,Debit Card,0.78
2025-03-07,Transport,281.62,Parking fee,Debit Card,7.04
2025-03-03,Food,417.61,Coffee at café,Bank Transfer,0.0
2025-03-31,Food,387.23,Bought snacks,Cash,0.0
2025-03-24,Investments,151.4,mutual funds,Credit Card,3.45
2025-03-16,Investments,105.38,mutual funds,Mobile Payment,0.0
2025-03-12,Entertainment,67.28,Dinner and drinks,Mobile Payment,0.0
2025-03-04,Stationary,95.68,Sheets,Cash,0.0
2025-03-29,Utilities,272.05,Electricity bill,Mobile Payment,0.0
2025-03-13,Travel,412.8,Sunday picnic,Cash,0.0
2025-03-20,Shopping,231.27,Gift purchase,Bank Transfer,0.0
2025-03-30,Shopping,325.86,Bought electronics,Debit Card,9.69
2025-03-04,Healthcare,455.92,Dental check-up,Cash,0.0
2025-03-21,Investments,263.23,mutual funds,Bank Transfer,0.0
2025-03-04,Rent,200.59,Apartment rent,Cash,0.0
2025-03-11,Healthcare,451.82,Prescription glasses,Cash,0.0
2025-03-08,Transport,221.95,Train fare,Cash,0.0
2025-03-31,Entertainment,242.09,Theatre show,Credit Card,5.57
2025-03-12,Entertainment,351.89,Streaming subscription,Credit Card,6.01
2025-03-17,Healthcare,281.44,Dental check-up,Mobile Payment,0.0
2025-03-06,Entertainment,158.91,Movie ticket,Debit Card,7.65
2025-03-11,Travel,68.08,Movies,Credit Card,2.04
2025-03-15,Travel,468.21,Mall visit,Mobile Payment,0.0
2025-03-13,Investments,405.4,stocks,Mobile Payment,0.0
2025-03-03,Transport,347.91,Public transport ticket,Debit Card,3.83
2025-03-30,Transport,376.27,Parking fee,Cash,0.0
2025-03-14,Rent,260.05,Apartment rent,Mobile Payment,0.0
2025-03-21,Transport,337.99,Gas station refill,Mobile Payment,0.0
2025-03-02,Investments,366.01,LIC,Credit Card,6.75
2025-03-21,Shopping,294.36,Online shopping,Bank Transfer,0.0
2025-03-13,Stationary,437.85,Sketch Pens,Cash,0.0
2025-03-17,Investments,205.19,SIP,Bank Transfer,0.0
2025-03-29,Travel,366.59,Hastinapur tour,Debit Card,4.72
2025-03-28,Rent,314.17,Apartment rent,Debit Card,9.4
2025-03-25,Food,100.11,Weekly groceries,Bank Transfer,0.0
2025-03-29,Travel,335.39,South Tour,Cash,0.0
2025-03-04,Investments,431.28,mutual funds,Credit Card,6.66
2025-03-21,Rent,430.9,Apartment rent,Credit Card,14.47
2025-03-22,Transport,54.74,Parking fee,Bank Transfer,0.0
2025-03-18,Transport,108.71,Uber ride,Mobile Payment,0.0
2025-03-28,Rent,301.56,Monthly rent,Mobile Payment,0.0
2025-03-14,Investments,437.58,LIC,Cash,0.0
2025-03-25,Utilities,383.67,Mobile phone bill,Credit Card,14.75
2025-03-05,Healthcare,167.13,Medicine purchase,Bank Transfer,0.0
2025-03-12,Stationary,192.8,Sheets,Credit Card,3.82
2025-03-29,Transport,57.86,Train fare,Mobile Payment,0.0
2025-03-06,Entertainment,68.78,Movie ticket,Credit Card,2.19
2025-03-02,Rent,104.62,Apartment rent,Cash,0.0
2025-03-11,Transport,122.49,Public transport ticket,Debit Card,2.86
2025-03-11,Stationary,87.85,declutter boxes,Mobile Payment,0.0
2025-03-27,Food,408.54,Lunch at restaurant,Bank Transfer,0.0
2025-03-01,Entertainment,218.12,Movie ticket,Credit Card,4.31
2025-03-01,Travel,95.54,South Tour,Cash,0.0
