Date,Category,Amount,Description,Payment Mode,Cashback
2025-05-15,Utilities,16.98,Internet subscription,Cash,0.0
2025-05-28,Rent,114.85,Room rent payment,Credit Card,6.08
2025-05-08,Utilities,275.39,Water bill,Cash,0.0
2025-05-25,Stationary,216.32,Sheets,Debit Card,14.19
2025-05-17,Food,5.75,Coffee at café,Cash,0.0
2025-05-19,Stationary,143.97,Charts,Debit Card,5.3
2025-05-08,Shopping,499.29,Clothing purchase,Debit Card,16.66
2025-05-22,Transport,355.32,Public transport ticket,Debit Card,26.69
2025-05-05,Entertainment,232.11,Video games,Debit Card,9.3
2025-05-26,Investments,47.56,mutual funds,Mobile Payment,0.0
2025-05-19,Investments,390.87,mutual funds,Credit Card,33.38
2025-05-30,Rent,251.02,Monthly rent,Mobile Payment,0.0
2025-05-30,Shopping,284.81,New shoes,Bank Transfer,0.0
2025-05-07,Food,103.6,Grocery shopping,Mobile Payment,0.0
2025-05-08,Healthcare,228.31,Dental check-up,Mobile Payment,0.0
2025-05-27,Utilities,311.52,Electricity bill,Bank Transfer,0.0
2025-05-06,Shopping,388.27,Shopping for accessories,Cash,0.0
2025-05-18,Shopping,392.13,Gift purchase,Debit Card,15.57
2025-05-13,Transport,271.71,Uber ride,Credit Card,15.14
2025-05-23,Transport,86.59,Car repair,Bank Transfer,0.0
2025-05-04,Travel,218.46,South Tour,Mobile Payment,0.0
2025-05-27,Stationary,219.86,Sketch Pens,Debit Card,7.72
2025-05-26,Healthcare,299.74,Medicine purchase,Mobile Payment,0.0
2025-05-27,Entertainment,227.74,Books purchase,Credit Card,17.81
2025-05-24,Rent,100.27,Monthly rent,Mobile Payment,0.0
2025-05-24,Travel,416.55,South Tour,Bank Transfer,0.0
2025-05-15,Entertainment,274.25,Concert ticket,Cash,0.0
2025-05-02,Food,216.06,Coffee at café,Mobile Payment,0.0
2025-05-18,Transport,486.24,Public transport ticket,Mobile Payment,0.0
2025-05-15,Stationary,285.89,Sketch Pens,Credit Card,16.09
2025-05-26,Entertainment,364.7,Dinner and drinks,Cash,0.0
2025-05-24,Utilities,190.14,Water bill,Bank Transfer,0.0
2025-05-24,Rent,484.59,Room rent payment,Credit Card,16.95
2025-05-18,Rent,53.41,Apartment rent,Credit Card,4.6
2025-05-10,Utilities,207.08,Cable TV subscription,Bank Transfer,0.0
2025-05-24,Entertainment,140.62,Concert ticket,Cash,0.0
2025-05-21,Travel,461.38,Hastinapur tour,Debit Card,28.31
2025-05-06,Stationary,431.29,declutter boxes,Bank Transfer,0.0
2025-05-23,Transport,354.81,Gas station refill,Debit Card,13.41
2025-05-14,Healthcare,273.43,Gym membership,Mobile Payment,0.0
2025-05-29,Healthcare,405.18,Doctor visit,Mobile Payment,0.0
2025-05-22,Entertainment,347.11,Books purchase,Bank Transfer,0.0
2025-05-02,Rent,432.16,Room rent payment,Mobile Payment,0.0
2025-05-08,Food,85.18,Lunch at restaurant,Bank Transfer,0.0
2025-05-19,Transport,144.41,Train fare,Bank Transfer,0.0
2025-05-30,Transport,156.69,Car repair,Bank Transfer,0.0
2025-05-24,Healthcare,100.83,Doctor visit,Mobile Payment,0.0
2025-05-26,Rent,121.86,Apartment rent,Debit Card,10.53
2025-05-16,Entertainment,459.25,Concert ticket,Debit Card,30.38
2025-05-14,Travel,421.41,Sunday picnic,Bank Transfer,0.0
2025-05-25,Healthcare,107.39,Health insurance,Bank Transfer,0.0
2025-05-08,Entertainment,355.81,Concert ticket,Debit Card,22.87
2025-05-15,Stationary,130.46,Sketch Pens,Credit Card,11.71
2025-05-14,Investments,207.54,stocks,Mobile Payment,0.0
2025-05-15,Stationary,376.15,declutter boxes,Bank Transfer,0.0
2025-05-17,Stationary,69.01,Sketch Pens,Credit Card,2.97
2025-05-11,Shopping,320.58,Home decor,Mobile Payment,0.0
2025-05-21,Shopping,149.44,New shoes,Credit Card,12.33
2025-05-10,Investments,152.98,stocks,Cash,0.0
2025-05-29,Utilities,435.6,Water bill,Cash,0.0
2025-05-14,Travel,443.03,Mall visit,Credit Card,29.64
2025-05-18,Stationary,407.93,Pens,Debit Card,10.43
2025-05-24,Investments,474.35,stocks,Mobile Payment,0.0
2025-05-27,Transport,36.3,Parking fee,Mobile Payment,0.0
2025-05-10,Investments,217.79,SIP,Bank Transfer,0.0
2025-05-04,Healthcare,310.62,Dental check-up,Credit Card,9.78
2025-05-07,Shopping,423.27,Shopping for accessories,Cash,0.0
2025-05-04,Food,42.31,Dinner delivery,Mobile Payment,0.0
2025-05-23,Transport,446.3,Taxi fare,Bank Transfer,0.0
2025-05-08,Travel,75.9,Movies,Debit Card,2.4
2025-05-08,Healthcare,157.61,Eye exam,Mobile Payment,0.0
2025-05-19,Rent,191.25,Apartment rent,Bank Transfer,0.0
2025-05-09,Investments,410.56,SIP,Bank Transfer,0.0
2025-05-23,Transport,428.62,Car repair,Credit Card,24.02
2025-05-16,Food,304.76,Lunch at restaurant,Credit Card,3.15
2025-05-27,Stationary,179.93,Charts,Mobile Payment,0.0
2025-05-27,Investments,237.88,SIP,Credit Card,20.39
2025-05-21,Travel,257.39,Sunday picnic,Bank Transfer,0.0
2025-05-07,Stationary,370.45,Charts,Cash,0.0
2025-05-25,Food,98.64,Bought snacks,Bank Transfer,0.0
2025-05-09,Travel,195.85,Hastinapur tour,Mobile Payment,0.0
2025-05-19,Food,401.72,Lunch at restaurant,Bank Transfer,0.0
2025-05-03,Stationary,248.83,Charts,Cash,0.0
2025-05-14,Stationary,224.91,Sheets,Mobile Payment,0.0
2025-05-21,Rent,50.4,Apartment rent,Credit Card,0.6
2025-05-25,Travel,401.6,Movies,Bank Transfer,0.0
2025-05-01,Stationary,236.49,Charts,Mobile Payment,0.0
2025-05-20,Shopping,283.27,Shopping for accessories,Credit Card,11.38
2025-05-16,Transport,84.38,Uber ride,Bank Transfer,0.0
2025-05-17,Transport,267.38,Car repair,Bank Transfer,0.0
2025-05-25,Shopping,42.48,Online shopping,Cash,0.0
2025-05-03,Travel,189.55,Hastinapur tour,Debit Card,5.99
2025-05-26,Entertainment,363.58,Theatre show,Mobile Payment,0.0
2025-05-30,Stationary,260.59,declutter boxes,Credit Card,9.02
2025-05-15,Transport,150.48,Car repair,Credit Card,4.5
2025-05-02,Travel,204.63,Sunday picnic,Bank Transfer,0.0
