Date,Category,Amount,Description,Payment Mode,Cashback
2025-11-08,Travel,41.78,Movies,Debit Card,1.31
2025-11-25,Entertainment,247.93,Theatre show,Bank Transfer,0.0
2025-11-14,Food,89.92,Coffee at café,Credit Card,2.15
2025-11-11,Travel,380.96,Mall visit,Cash,0.0
2025-11-24,Utilities,142.22,Mobile phone bill,Debit Card,1.48
2025-11-19,Entertainment,313.89,Concert ticket,Mobile Payment,0.0
2025-11-21,Entertainment,300.2,Video games,Bank Transfer,0.0
2025-11-23,Entertainment,144.67,Video games,Bank Transfer,0.0
2025-11-04,Transport,175.97,Train fare,Bank Transfer,0.0
2025-11-25,Entertainment,489.29,Concert ticket,Bank Transfer,0.0
2025-11-10,Stationary,43.19,declutter boxes,Bank Transfer,0.0
2025-11-05,Healthcare,176.55,Doctor visit,Mobile Payment,0.0
2025-11-04,Shopping,6.84,New shoes,Credit Card,0.13
2025-11-22,Shopping,158.35,Bought electronics,Mobile Payment,0.0
2025-11-27,Travel,67.83,Hastinapur tour,Debit Card,2.66
2025-11-23,Rent,430.31,Room rent payment,Credit Card,14.94
2025-11-24,Healthcare,271.89,Medicine purchase,Mobile Payment,0.0
2025-11-22,Stationary,90.87,Sheets,Cash,0.0
2025-11-30,Utilities,30.87,Gas bill,Cash,0.0
2025-11-26,Entertainment,272.52,Books purchase,Credit Card,3.03
2025-11-01,Utilities,168.98,Cable TV subscription,Cash,0.0
2025-11-20,Travel,259.31,Sunday picnic,Mobile Payment,0.0
2025-11-17,Entertainment,336.13,Dinner and drinks,Debit Card,5.73
2025-11-21,Travel,480.39,Movies,Bank Transfer,0.0
2025-11-27,Healthcare,243.23,Doctor visit,Credit Card,6.04
2025-11-26,Utilities,422.73,Mobile phone bill,Debit Card,10.57
2025-11-14,Utilities,450.6,Mobile phone bill,Bank Transfer,0.0
2025-11-22,Stationary,355.37,Sheets,Credit Card,11.01
2025-11-09,Investments,201.39,mutual funds,Credit Card,3.36
2025-11-13,Entertainment,140.33,Dinner and drinks,Credit Card,4.75
2025-11-27,Transport,418.4,Parking fee,Mobile Payment,0.0
2025-11-30,Entertainment,355.56,Dinner and drinks,Cash,0.0
2025-11-16,Stationary,120.54,declutter boxes,Cash,0.0
2025-11-24,Rent,61.5,Room rent payment,Credit Card,2.06
2025-11-19,Travel,54.79,Movies,Credit Card,1.78
2025-11-10,Healthcare,460.34,Prescription glasses,Bank Transfer,0.0
2025-11-16,Rent,298.09,Apartment rent,Debit Card,9.99
2025-11-01,Entertainment,406.53,Video games,Credit Card,5.87
2025-11-27,Entertainment,392.15,Video games,Debit Card,8.88
2025-11-15,Rent,290.7,House rent payment,Cash,0.0
2025-11-08,Healthcare,472.69,Gym membership,Debit Card,6.04
2025-11-24,Travel,431.07,South Tour,Mobile Payment,0.0
2025-11-30,Travel,366.83,South Tour,Bank Transfer,0.0
2025-11-20,Utilities,307.81,Mobile phone bill,Debit Card,8.33
2025-11-16,Food,475.9,Grocery shopping,Debit Card,8.12
2025-11-19,Investments,392.48,SIP,Bank Transfer,0.0
2025-11-07,Rent,183.56,Monthly rent,Credit Card,6.61
2025-11-18,Stationary,376.29,Charts,Cash,0.0
2025-11-07,Stationary,58.89,Sketch Pens,Credit Card,2.3
2025-11-28,Food,351.62,Grocery shopping,Cash,0.0
2025-11-08,Travel,463.54,Sunday picnic,Bank Transfer,0.0
2025-11-08,Rent,162.69,Room rent payment,Debit Card,3.9
2025-11-22,Shopping,415.9,Bought electronics,Bank Transfer,0.0
2025-11-20,Shopping,166.29,Gift purchase,Cash,0.0
2025-11-09,Stationary,425.89,Pens,Cash,0.0
2025-11-03,Investments,52.14,LIC,Credit Card,1.35
2025-11-11,Investments,230.88,SIP,Credit Card,6.64
2025-11-20,Entertainment,213.29,Dinner and drinks,Mobile Payment,0.0
2025-11-06,Stationary,411.7,Sheets,Credit Card,15.97
2025-11-16,Rent,198.06,Room rent payment,Credit Card,6.37
2025-11-30,Travel,355.32,Sunday picnic,Bank Transfer,0.0
2025-11-07,Investments,185.18,stocks,Credit Card,2.94
2025-11-15,Rent,265.97,Monthly rent,Credit Card,9.36
2025-11-25,Investments,218.09,LIC,Debit Card,6.32
2025-11-30,Stationary,388.73,Charts,Bank Transfer,0.0
2025-11-07,Investments,60.12,LIC,Debit Card,0.64
2025-11-14,Healthcare,170.89,Prescription glasses,Mobile Payment,0.0
2025-11-12,Food,21.89,Fast food meal,Mobile Payment,0.0
2025-11-12,Travel,411.42,South Tour,Bank Transfer,0.0
2025-11-30,Stationary,353.77,Sheets,Debit Card,11.52
2025-11-10,Investments,117.0,SIP,Bank Transfer,0.0
2025-11-05,Stationary,82.06,Charts,Debit Card,3.13
2025-11-29,Utilities,435.0,Gas bill,Debit Card,10.2
2025-11-27,Investments,34.63,SIP,Debit Card,0.71
2025-11-17,Shopping,114.22,New shoes,Mobile Payment,0.0
2025-11-29,Stationary,485.24,Pens,Mobile Payment,0.0
2025-11-27,Stationary,245.95,Charts,Bank Transfer,0.0
2025-11-09,Transport,232.98,Public transport ticket,Mobile Payment,0.0
2025-11-17,Transport,121.87,Public transport ticket,Mobile Payment,0.0
2025-11-02,Stationary,151.61,Charts,Debit Card,4.83
2025-11-28,Stationary,135.77,Charts,Mobile Payment,0.0
2025-11-15,Food,37.11,Fast food meal,Cash,0.0
2025-11-22,Rent,138.15,House rent payment,Mobile Payment,0.0
2025-11-11,Transport,108.71,Train fare,Mobile Payment,0.0
2025-11-26,Shopping,265.63,Online shopping,Credit Card,4.59
2025-11-07,Healthcare,246.28,Prescription glasses,Cash,0.0
2025-11-07,Investments,498.0,SIP,Credit Card,5.42
2025-11-07,Rent,132.61,House rent payment,Debit Card,4.67
2025-11-20,Stationary,316.95,Pens,Mobile Payment,0.0
2025-11-01,Food,191.46,Weekly groceries,Mobile Payment,0.0
2025-11-12,Food,151.34,Weekly groceries,Credit Card,2.82
2025-11-15,Entertainment,157.78,Books purchase,Credit Card,5.0
2025-11-17,Food,221.16,Weekly groceries,Debit Card,7.35
2025-11-20,Travel,239.76,Sunday picnic,Mobile Payment,0.0
2025-11-12,Shopping,75.1,Online shopping,Mobile Payment,0.0
2025-11-24,Investments,133.53,SIP,Debit Card,2.74
2025-11-03,Transport,491.78,Uber ride,Mobile Payment,0.0
2025-11-24,Stationary,170.84,Sheets,Debit Card,4.04
2025-11-24,Investments,379.3,LIC,Credit Card,12.66
2025-11-14,Rent,263.42,Apartment rent,Cash,0.0
2025-11-27,Entertainment,311.98,Theatre show,Credit Card,7.08
2025-11-17,Transport,330.35,Car repair,Mobile Payment,0.0
2025-11-16,Transport,24.72,Taxi fare,Mobile Payment,0.0
2025-11-02,Investments,296.99,LIC,Credit Card,10.03
2025-11-07,Rent,368.44,Monthly rent,Credit Card,6.49
2025-11-23,Rent,83.46,Monthly rent,Bank Transfer,0.0
2025-11-16,Investments,459.39,mutual funds,Bank Transfer,0.0
2025-11-02,Shopping,175.52,Home decor,Cash,0.0
2025-11-03,Utilities,142.21,Cable TV subscription,Cash,0.0
2025-11-15,Travel,24.11,Mall visit,Credit Card,0.75
2025-11-06,Transport,190.47,Uber ride,Cash,0.0
2025-11-15,Investments,287.0,stocks,Mobile Payment,0.0
2025-11-01,Healthcare,278.81,Medicine purchase,Mobile Payment,0.0
2025-11-27,Food,110.3,Coffee at café,Bank Transfer,0.0
2025-11-21,Transport,129.66,Parking fee,Cash,0.0
2025-11-25,Healthcare,486.27,Medicine purchase,Mobile Payment,0.0
2025-11-27,Stationary,116.51,Charts,Mobile Payment,0.0
2025-11-22,Entertainment,318.95,Theatre show,Debit Card,8.79
2025-11-07,Utilities,379.74,Internet subscription,Mobile Payment,0.0
2025-11-15,Travel,167.47,Hastinapur tour,Cash,0.0
2025-11-01,Investments,328.34,SIP,Debit Card,7.22
2025-11-27,Healthcare,256.94,Medicine purchase,Bank Transfer,0.0
2025-11-30,Utilities,387.88,Cable TV subscription,Mobile Payment,0.0
2025-11-23,Investments,338.2,stocks,Bank Transfer,0.0
2025-11-30,Stationary,136.85,Sheets,Mobile Payment,0.0
2025-11-25,Transport,348.56,Taxi fare,Debit Card,7.05
2025-11-20,Stationary,365.7,Charts,Credit Card,8.61
2025-11-07,Utilities,448.07,Internet subscription,Cash,0.0
2025-11-15,Rent,31.91,House rent payment,Credit Card,0.79
2025-11-29,Healthcare,290.17,Dental check-up,Mobile Payment,0.0
2025-11-02,Investments,54.24,LIC,Mobile Payment,0.0
2025-11-01,Entertainment,185.65,Streaming subscription,Bank Transfer,0.0
2025-11-11,Investments,299.11,SIP,Debit Card,6.08
2025-11-13,Shopping,166.24,New shoes,Credit Card,2.27
2025-11-28,Travel,232.98,Movies,Debit Card,3.54
2025-11-17,Stationary,321.06,declutter boxes,Bank Transfer,0.0
2025-11-17,Shopping,215.42,Bought electronics,Credit Card,4.02
2025-11-05,Shopping,189.75,Home decor,Credit Card,5.86
2025-11-23,Entertainment,465.4,Streaming subscription,Cash,0.0
2025-11-02,Utilities,158.47,Mobile phone bill,Cash,0.0
2025-11-02,Entertainment,89.1,Books purchase,Cash,0.0
2025-11-05,Travel,280.71,Mall visit,Bank Transfer,0.0
2025-11-22,Food,140.33,Bought snacks,Bank Transfer,0.0
2025-11-16,Utilities,126.32,Internet subscription,Debit Card,4.12
2025-11-04,Shopping,275.91,Gift purchase,Bank Transfer,0.0
2025-11-12,Transport,23.93,Taxi fare,Credit Card,0.32
2025-11-04,Food,124.6,Lunch at restaurant,Bank Transfer,0.0
