Date,Category,Amount,Description,Payment Mode,Cashback
2025-09-29,Healthcare,234.31,Gym membership,Debit Card,9.27
2025-09-04,Utilities,112.34,Mobile phone bill,Debit Card,2.2
2025-09-27,Stationary,145.05,Sketch Pens,Cash,0.0
2025-09-18,Utilities,188.87,Electricity bill,Cash,0.0
2025-09-30,Investments,277.86,mutual funds,Credit Card,20.25
2025-09-13,Stationary,244.2,Sketch Pens,Mobile Payment,0.0
2025-09-24,Transport,296.65,Car repair,Credit Card,21.9
2025-09-18,Travel,476.66,Movies,Bank Transfer,0.0
2025-09-26,Healthcare,225.17,Gym membership,Bank Transfer,0.0
2025-09-03,Stationary,495.46,Sheets,Bank Transfer,0.0
2025-09-06,Transport,239.63,Parking fee,Cash,0.0
2025-09-24,Transport,372.71,Gas station refill,Debit Card,31.41
2025-09-01,Rent,149.41,House rent payment,Bank Transfer,0.0
2025-09-13,Rent,383.25,Monthly rent,Mobile Payment,0.0
2025-09-23,Stationary,440.33,Pens,Mobile Payment,0.0
2025-09-27,Travel,172.8,Sunday picnic,Debit Card,6.73
2025-09-04,Rent,429.52,Apartment rent,Debit Card,26.84
2025-09-28,Food,113.84,Dinner delivery,Mobile Payment,0.0
2025-09-12,Healthcare,417.68,Gym membership,Debit Card,29.68
2025-09-08,Transport,274.33,Parking fee,Debit Card,11.52
2025-09-11,Stationary,413.79,declutter boxes,Mobile Payment,0.0
2025-09-04,Food,294.81,Fast food meal,Mobile Payment,0.0
2025-09-27,Healthcare,82.69,Eye exam,Debit Card,4.64
2025-09-26,Transport,322.37,Gas station refill,Cash,0.0
2025-09-22,Rent,490.57,Monthly rent,Credit Card,15.53
2025-09-18,Rent,458.18,House rent payment,Credit Card,40.38
2025-09-09,Rent,100.69,Apartment rent,Credit Card,6.17
2025-09-19,Stationary,243.86,Sketch Pens,Cash,0.0
2025-09-13,Food,316.9,Bought snacks,Credit Card,16.13
2025-09-08,Transport,460.09,Car repair,Cash,0.0
2025-09-25,Entertainment,311.97,Theatre show,Cash,0.0
2025-09-10,Healthcare,293.28,Dental check-up,Credit Card,5.62
2025-09-03,Stationary,96.68,declutter boxes,Mobile Payment,0.0
2025-09-17,Investments,29.25,SIP,Mobile Payment,0.0
2025-09-06,Transport,55.51,Gas station refill,Cash,0.0
2025-09-19,Shopping,347.14,Online shopping,Credit Card,31.09
2025-09-20,Travel,364.03,Movies,Cash,0.0
2025-09-27,Stationary,434.14,Sheets,Mobile Payment,0.0
2025-09-29,Investments,291.31,SIP,Credit Card,23.21
2025-09-09,Utilities,464.02,Cable TV subscription,Bank Transfer,0.0
2025-09-19,Travel,69.76,Sunday picnic,Cash,0.0
2025-09-26,Investments,368.95,stocks,Credit Card,31.0
2025-09-30,Shopping,273.39,Gift purchase,Cash,0.0
2025-09-26,Food,64.86,Bought snacks,Bank Transfer,0.0
2025-09-26,Rent,147.98,House rent payment,Bank Transfer,0.0
2025-09-10,Rent,409.74,House rent payment,Cash,0.0
2025-09-19,Rent,90.26,Monthly rent,Debit Card,5.72
2025-09-09,Healthcare,414.96,Dental check-up,Cash,0.0
2025-09-24,Healthcare,463.31,Dental check-up,Mobile Payment,0.0
2025-09-22,Entertainment,34.84,Movie ticket,Mobile Payment,0.0
2025-09-01,Transport,44.61,Train fare,Bank Transfer,0.0
2025-09-26,Healthcare,98.61,Gym membership,Mobile Payment,0.0
2025-09-15,Food,322.68,Grocery shopping,Debit Card,14.26
2025-09-20,Travel,438.51,South Tour,Debit Card,7.48
2025-09-30,Travel,251.9,Movies,Mobile Payment,0.0
2025-09-09,Food,51.89,Coffee at café,Bank Transfer,0.0
2025-09-20,Travel,130.07,South Tour,Bank Transfer,0.0
