Date,Category,Amount,Description,Payment Mode,Cashback
2025-01-21,Transport,458.56,Public transport ticket,Debit Card,16.0
2025-01-17,Investments,295.81,stocks,Bank Transfer,0.0
2025-01-17,Healthcare,422.57,Prescription glasses,Cash,0.0
2025-01-17,Shopping,378.6,Bought electronics,Credit Card,13.99
2025-01-01,Food,13.12,Lunch at restaurant,Cash,0.0
2025-01-12,Rent,435.71,Monthly rent,Bank Transfer,0.0
2025-01-07,Entertainment,71.35,Books purchase,Debit Card,2.61
2025-01-19,Food,39.19,Bought snacks,Mobile Payment,0.0
2025-01-02,Transport,405.78,Public transport ticket,Mobile Payment,0.0
2025-01-08,Shopping,76.13,Home decor,Credit Card,2.54
2025-01-14,Stationary,272.34,Sheets,Mobile Payment,0.0
2025-01-21,Entertainment,133.62,Movie ticket,Mobile Payment,0.0
2025-01-03,Transport,295.46,Taxi fare,Credit Card,11.67
2025-01-09,Transport,405.8,Public transport ticket,Bank Transfer,0.0
2025-01-11,Food,454.07,Coffee at café,Bank Transfer,0.0
2025-01-03,Rent,352.59,Apartment rent,Debit Card,6.85
2025-01-07,Transport,318.45,Parking fee,Mobile Payment,0.0
2025-01-10,Utilities,424.3,Electricity bill,Credit Card,13.41
2025-01-14,Rent,438.3,Apartment rent,Cash,0.0
2025-01-10,Healthcare,360.41,Doctor visit,Credit Card,17.54
2025-01-03,Transport,38.54,Gas station refill,Cash,0.0
2025-01-18,Food,294.35,Lunch at restaurant,Mobile Payment,0.0
2025-01-11,Travel,488.78,South Tour,Bank Transfer,0.0
2025-01-17,Utilities,321.5,Electricity bill,Mobile Payment,0.0
2025-01-11,Stationary,198.82,Charts,Cash,0.0
2025-01-02,Transport,19.14,Train fare,Debit Card,0.19
2025-01-21,Utilities,167.63,Gas bill,Bank Transfer,0.0
2025-01-04,Rent,208.34,Room rent payment,Cash,0.0
2025-01-13,Investments,282.02,SIP,Mobile Payment,0.0
2025-01-18,Food,13.17,Lunch at restaurant,Debit Card,0.28
2025-01-11,Utilities,87.59,Mobile phone bill,Bank Transfer,0.0
2025-01-06,Transport,132.6,Car repair,Credit Card,3.43
2025-01-07,Investments,13.59,mutual funds,Mobile Payment,0.0
2025-01-14,Entertainment,151.11,Dinner and drinks,Debit Card,1.52
2025-01-08,Investments,253.79,stocks,Debit Card,8.85
2025-01-13,Shopping,80.29,Bought electronics,Credit Card,3.99
2025-01-08,Investments,214.51,stocks,Credit Card,8.41
2025-01-18,Rent,43.9,House rent payment,Debit Card,0.55
2025-01-06,Rent,160.42,Room rent payment,Bank Transfer,0.0
2025-01-08,Travel,133.58,Sunday picnic,Credit Card,1.56
2025-01-07,Travel,177.65,Movies,Debit Card,4.22
2025-01-17,Travel,138.04,Hastinapur tour,Bank Transfer,0.0
2025-01-07,Travel,320.63,Mall visit,Cash,0.0
2025-01-17,Transport,410.24,Taxi fare,Debit Card,9.96
2025-01-11,Food,98.5,Lunch at restaurant,Credit Card,4.9
2025-01-14,Transport,262.82,Public transport ticket,Bank Transfer,0.0
2025-01-07,Utilities,225.46,Internet subscription,Bank Transfer,0.0
2025-01-17,Transport,73.04,Parking fee,Mobile Payment,0.0
2025-01-09,Entertainment,483.53,Dinner and drinks,Cash,0.0
2025-01-10,Rent,414.62,House rent payment,Bank Transfer,0.0
2025-01-20,Shopping,398.75,Shopping for accessories,Credit Card,17.59
2025-01-13,Shopping,34.57,Bought electronics,Mobile Payment,0.0
2025-01-18,Entertainment,130.23,Movie ticket,Credit Card,1.33
2025-01-15,Rent,332.27,Room rent payment,Credit Card,5.3
2025-01-18,Investments,43.71,LIC,Cash,0.0
2025-01-08,Food,154.07,Dinner delivery,Bank Transfer,0.0
2025-01-14,Transport,165.9,Taxi fare,Bank Transfer,0.0
2025-01-14,Utilities,160.1,Internet subscription,Credit Card,2.75
2025-01-11,Entertainment,455.24,Books purchase,Bank Transfer,0.0
2025-01-06,Shopping,407.11,Home decor,Cash,0.0
2025-01-19,Transport,89.55,Parking fee,Debit Card,2.74
2025-01-20,Food,320.24,Lunch at restaurant,Bank Transfer,0.0
2025-01-01,Healthcare,271.91,Medicine purchase,Credit Card,12.27
2025-01-09,Healthcare,173.72,Health insurance,Bank Transfer,0.0
2025-01-16,Investments,160.56,LIC,Debit Card,7.11
2025-01-21,Stationary,368.09,declutter boxes,Mobile Payment,0.0
2025-01-09,Stationary,411.56,Pens,Mobile Payment,0.0
2025-01-05,Entertainment,436.02,Video games,Cash,0.0
2025-01-12,Healthcare,180.31,Dental check-up,Bank Transfer,0.0
2025-01-14,Food,499.3,Grocery shopping,Credit Card,9.4
2025-01-18,Food,174.59,Weekly groceries,Cash,0.0
2025-01-08,Entertainment,396.22,Books purchase,Credit Card,8.35
2025-01-10,Utilities,65.61,Internet subscription,Debit Card,1.86
2025-01-20,Rent,287.99,Room rent payment,Bank Transfer,0.0
2025-01-07,Healthcare,485.49,Medicine purchase,Mobile Payment,0.0
2025-01-19,Travel,130.29,Mall visit,Bank Transfer,0.0
2025-01-19,Food,259.81,Coffee at café,Credit Card,4.9
2025-01-02,Travel,176.78,South Tour,Mobile Payment,0.0
2025-01-03,Rent,139.53,Apartment rent,Debit Card,5.74
2025-01-16,Entertainment,233.18,Concert ticket,Mobile Payment,0.0
2025-01-08,Entertainment,368.93,Books purchase,Debit Card,4.41
2025-01-09,Investments,416.37,LIC,Credit Card,8.29
2025-01-14,Investments,336.82,mutual funds,Bank Transfer,0.0
2025-01-21,Rent,454.01,Room rent payment,Debit Card,17.3
2025-01-05,Travel,492.58,Hastinapur tour,Bank Transfer,0.0
2025-01-08,Rent,53.89,House rent payment,Mobile Payment,0.0
2025-01-15,Investments,64.87,LIC,Debit Card,1.83
2025-01-20,Food,5.53,Grocery shopping,Bank Transfer,0.0
2025-01-02,Shopping,208.98,Gift purchase,Debit Card,3.48
2025-01-20,Healthcare,233.07,Prescription glasses,Mobile Payment,0.0
2025-01-20,Travel,11.23,Mall visit,Bank Transfer,0.0
2025-01-02,Healthcare,338.39,Medicine purchase,Mobile Payment,0.0
2025-01-14,Utilities,96.31,Internet subscription,Bank Transfer,0.0
2025-01-05,Healthcare,186.23,Gym membership,Credit Card,2.56
2025-01-18,Entertainment,200.03,Concert ticket,Credit Card,8.97
2025-01-06,Transport,164.79,Taxi fare,Cash,0.0
2025-01-08,Healthcare,436.54,Health insurance,Bank Transfer,0.0
2025-01-06,Shopping,43.36,Home decor,Bank Transfer,0.0
2025-01-09,Travel,428.29,South Tour,Bank Transfer,0.0
2025-01-14,Food,301.95,Coffee at café,Credit Card,9.23
2025-01-01,Stationary,436.61,declutter boxes,Credit Card,12.07
2025-01-17,Stationary,433.48,Sketch Pens,Bank Transfer,0.0
2025-01-01,Food,317.75,Lunch at restaurant,Bank Transfer,0.0
2025-01-02,Investments,328.89,stocks,Mobile Payment,0.0
2025-01-14,Investments,390.07,SIP,Cash,0.0
2025-01-19,Shopping,458.32,Online shopping,Cash,0.0
2025-01-13,Stationary,250.77,declutter boxes,Credit Card,7.79
2025-01-07,Entertainment,427.07,Theatre show,Mobile Payment,0.0
2025-01-11,Utilities,108.89,Mobile phone bill,Bank Transfer,0.0
2025-01-04,Entertainment,313.46,Streaming subscription,Cash,0.0
2025-01-04,Travel,75.27,Sunday picnic,Credit Card,3.3
2025-01-02,Utilities,338.35,Mobile phone bill,Mobile Payment,0.0
2025-01-03,Travel,186.25,Sunday picnic,Mobile Payment,0.0
2025-01-04,Investments,348.6,stocks,Bank Transfer,0.0
2025-01-03,Utilities,322.87,Water bill,Bank Transfer,0.0
2025-01-11,Utilities,63.93,Internet subscription,Debit Card,3.1
2025-01-20,Stationary,421.06,Pens,Credit Card,19.65
2025-01-03,Investments,177.74,LIC,Debit Card,5.04
2025-01-13,Stationary,317.6,Sheets,Bank Transfer,0.0
2025-01-09,Shopping,12.78,Bought electronics,Mobile Payment,0.0
2025-01-21,Utilities,128.56,Water bill,Cash,0.0
2025-01-18,Transport,471.72,Public transport ticket,Cash,0.0
2025-01-20,Transport,356.99,Public transport ticket,Cash,0.0
2025-01-14,Food,49.7,Fast food meal,Mobile Payment,0.0
2025-01-16,Travel,296.43,South Tour,Mobile Payment,0.0
2025-01-08,Stationary,317.91,Sketch Pens,Bank Transfer,0.0
2025-01-19,Transport,467.4,Taxi fare,Mobile Payment,0.0
2025-01-06,Entertainment,19.58,Movie ticket,Mobile Payment,0.0
2025-01-04,Utilities,436.35,Cable TV subscription,Cash,0.0
2025-01-12,Entertainment,476.83,Movie ticket,Mobile Payment,0.0
2025-01-06,Entertainment,405.2,Movie ticket,Debit Card,5.22
2025-01-05,Healthcare,40.37,Eye exam,Bank Transfer,0.0
2025-01-15,Entertainment,406.96,Video games,Bank Transfer,0.0
2025-01-14,Rent,18.81,Monthly rent,Debit Card,0.46
2025-01-21,Rent,345.47,Room rent payment,Bank Transfer,0.0
2025-01-17,Transport,290.61,Public transport ticket,Credit Card,6.52
2025-01-19,Food,247.25,Grocery shopping,Bank Transfer,0.0
2025-01-04,Transport,167.03,Parking fee,Bank Transfer,0.0
2025-01-01,Transport,167.29,Taxi fare,Credit Card,4.11
2025-01-10,Entertainment,468.02,Dinner and drinks,Credit Card,12.88
