Date,Category,Amount,Description,Payment Mode,Cashback
2025-10-27,Utilities,12.42,Electricity bill,Bank Transfer,0.0
2025-10-08,Utilities,267.01,Electricity bill,Credit Card,7.3
2025-10-10,Shopping,68.23,Clothing purchase,Debit Card,2.62
2025-10-22,Travel,101.38,Movies,Cash,0.0
2025-10-01,Entertainment,243.76,Concert ticket,Bank Transfer,0.0
2025-10-03,Healthcare,18.51,Eye exam,Credit Card,0.28
2025-10-12,Shopping,19.99,Home decor,Debit Card,0.63
2025-10-17,Food,370.08,Bought snacks,Mobile Payment,0.0
2025-10-24,Transport,8.51,Public transport ticket,Mobile Payment,0.0
2025-10-24,Stationary,492.15,Sketch Pens,Cash,0.0
2025-10-18,Transport,273.67,Train fare,Cash,0.0
2025-10-08,Entertainment,167.64,Books purchase,Debit Card,5.07
2025-10-13,Shopping,184.73,Gift purchase,Cash,0.0
2025-10-09,Food,64.64,Dinner delivery,Cash,0.0
2025-10-02,Utilities,74.14,Mobile phone bill,Cash,0.0
2025-10-31,Healthcare,221.78,Gym membership,Cash,0.0
2025-10-18,Travel,179.32,Sunday picnic,Credit Card,5.52
2025-10-10,Stationary,9.5,Charts,Mobile Payment,0.0
2025-10-05,Transport,73.7,Parking fee,Credit Card,2.91
2025-10-21,Travel,41.33,Mall visit,Cash,0.0
2025-10-14,Rent,259.32,House rent payment,Debit Card,11.13
2025-10-25,Transport,274.58,Parking fee,Cash,0.0
2025-10-17,Utilities,252.1,Internet subscription,Mobile Payment,0.0
2025-10-21,Stationary,383.76,declutter boxes,Cash,0.0
2025-10-03,Investments,319.43,mutual funds,Debit Card,4.65
2025-10-18,Food,448.4,Dinner delivery,Bank Transfer,0.0
2025-10-19,Investments,468.96,LIC,Cash,0.0
2025-10-26,Entertainment,452.88,Books purchase,Cash,0.0
2025-10-13,Investments,72.5,SIP,Credit Card,0.74
2025-10-24,Stationary,477.82,Charts,Bank Transfer,0.0
2025-10-19,Food,327.47,Dinner delivery,Cash,0.0
2025-10-29,Utilities,57.37,Gas bill,Credit Card,1.99
2025-10-16,Travel,306.33,Mall visit,Debit Card,3.53
2025-10-22,Utilities,378.0,Water bill,Bank Transfer,0.0
